name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Daniel Hughes,33,Australia,0,94,89,13,2076,1717,189,50,28,0,0,0,0
Henry Hunt,25,Australia,0,6,6,0,102,92,8,3,2,0,0,0,0
Josh Inglis,26,Australia,4,75,70,9,1914,1280,202,62,60,0,0,0,0
Caleb Jewell,24,Australia,0,32,30,1,570,476,62,9,12,0,0,0,0
Josh Kann,22,Australia,0,3,0,0,0,0,0,0,0,3,30,76,1
Matthew Kelly,27,Australia,0,27,10,4,63,50,4,3,8,27,584,787,41
Thomas Kelly,21,Australia,0,15,12,2,214,165,14,6,5,0,0,0,0
Hayden Kerr,25,Australia,0,22,13,5,177,135,13,5,7,18,318,394,25
Usman Khawaja,35,Australia,9,107,106,8,2978,2299,362,46,24,0,0,0,0
Matthew Kuhnemann,25,Australia,0,18,7,4,22,22,3,0,6,16,276,354,11
Marnus Labuschagne,27,Australia,0,25,24,2,666,523,52,16,13,21,294,443,21
Josh Lalor,34,Australia,0,65,32,14,140,161,10,2,20,65,1318,1846,66
Nick Larkin,31,Australia,0,43,38,11,835,684,86,15,17,0,0,0,0
Jake Lehmann,29,Australia,0,33,28,4,341,312,34,3,15,4,24,42,1
Jay Lenton,31,Australia,0,22,13,7,141,105,9,6,17,0,0,0,0
Chris Lynn,31,Australia,18,230,223,22,6140,4318,518,341,66,7,78,93,3
Nathan Lyon,34,Australia,2,50,18,7,60,64,4,0,15,48,1000,1219,57
Nic Maddinson,30,Australia,6,132,123,11,2321,1873,213,95,53,19,198,241,13
Benjamin Manenti,24,Australia,0,22,6,4,25,32,0,1,5,20,378,441,16
Mitchell Marsh,30,Australia,36,137,128,33,3241,2510,225,140,56,89,1254,1733,66
Shaun Marsh,38,Australia,15,204,201,24,6638,5176,636,210,66,2,12,13,0
Glenn Maxwell,33,Australia,83,345,324,47,7828,5175,651,373,171,230,3038,3904,120
Nathan McAndrew,28,Australia,0,41,19,11,147,92,14,5,15,41,736,1141,34
Ben McDermott,27,Australia,21,95,90,16,2383,1793,152,110,51,0,0,0,0
Ronan McDonald,29,Australia,0,1,0,0,0,0,0,0,0,1,12,21,1
Steven McGiffin,24,Australia,0,2,2,1,20,23,1,0,1,2,12,23,0
Nathan McSweeney,22,Australia,0,4,4,0,42,46,4,0,0,2,12,12,0
Riley Meredith,25,Australia,5,55,10,4,23,23,2,0,9,55,1187,1659,71
Jonathan Merlo,23,Australia,0,9,8,1,46,45,5,0,1,3,24,30,0
David Moody,26,Australia,0,6,1,0,8,15,0,0,0,6,96,148,5
Lance Morris,23,Australia,0,13,2,1,2,8,0,0,3,13,171,281,3
Todd Murphy,21,Australia,0,4,0,0,0,0,0,0,0,3,54,46,1
Arjun Nair,23,Australia,0,36,24,12,251,213,15,7,9,31,486,623,23
Michael Neser,31,Australia,0,78,50,18,424,371,30,13,36,77,1514,2134,79
Peter Nevill,36,Australia,9,57,40,14,374,347,31,4,31,0,0,0,0
Harry Nielsen,26,Australia,0,26,19,5,265,236,21,4,15,0,0,0,0
Tom O'Connell,21,Australia,0,8,4,2,12,17,1,0,3,7,84,112,5
Steve O'Keefe,37,Australia,7,111,53,16,538,483,55,9,34,104,2099,2377,98
Mitchell Owen,20,Australia,0,7,5,4,37,25,6,0,1,6,79,119,2
Joel Paris,29,Australia,0,28,8,4,25,37,1,0,11,27,539,774,25
Wil Parker,19,Australia,0,7,4,2,41,29,3,1,1,5,78,140,1
Kurtis Patterson,28,Australia,0,44,40,2,872,714,78,23,24,0,0,0,0
James Pattinson,31,Australia,4,55,26,9,125,120,7,5,14,55,1145,1623,61
Jimmy Peirson,29,Australia,0,89,80,19,1303,1042,112,36,61,0,0,0,0
Lachlan Pfeffer,30,Australia,0,4,4,0,109,95,9,3,2,0,0,0,0
Josh Philippe,24,Australia,10,78,77,10,1951,1419,183,59,56,0,0,0,0
Lloyd Pope,22,Australia,0,24,4,2,6,11,1,0,1,24,438,586,19
Jack Prestwidge,25,Australia,0,24,13,3,139,119,10,7,4,22,333,452,17
Will Prestwidge,20,Australia,0,3,3,1,23,19,1,2,0,3,56,93,4
Sam Rainbird,29,Australia,0,24,12,5,34,37,2,0,8,24,451,669,17
Matt Renshaw,25,Australia,0,49,48,6,1062,839,90,25,18,17,198,270,7
Jhye Richardson,25,Australia,15,73,37,21,280,226,20,12,24,73,1589,2100,91
